series,p,subjective_prob
a black,0.91,0.9133333333333332
a black,0.93,0.9233333333333333
a black,0.95,0.9333333333333332
a black,0.97,0.9366666666666666
a black,0.99,0.91
a female,0.01,0.005
a female,0.03,0.005
a female,0.05,0.005
a female,0.07,0.005
a female,0.09,0.005
a female,0.11,0.005
a female,0.13,0.005
a female,0.15,0.005
a female,0.17,0.005
a female,0.19,0.006666666666666667
a female,0.21,0.013333333333333334
a female,0.23,0.013333333333333334
a female,0.25,0.005
a female,0.27,0.013333333333333334
a female,0.29,0.013333333333333334
a female,0.31,0.02
a female,0.33,0.013333333333333334
a female,0.35,0.023333333333333334
a female,0.37,0.023333333333333334
a female,0.39,0.03
a female,0.41,0.05666666666666667
a female,0.43,0.05666666666666667
a female,0.45,0.06333333333333334
a female,0.47,0.06333333333333334
a female,0.49,0.02666666666666667
a female,0.51,0.17666666666666667
a female,0.53,0.21666666666666667
a female,0.55,0.3333333333333333
a female,0.57,0.3433333333333333
a female,0.59,0.38666666666666666
a female,0.61,0.5233333333333333
a female,0.63,0.54
a female,0.65,0.6033333333333334
a female,0.67,0.5599999999999999
a female,0.69,0.6266666666666666
a female,0.71,0.7000000000000001
a female,0.73,0.7133333333333334
a female,0.75,0.71
a female,0.77,0.75
a female,0.79,0.7666666666666666
a female,0.81,0.7966666666666667
a female,0.83,0.8333333333333334
a female,0.85,0.8433333333333334
a female,0.87,0.8966666666666666
a female,0.89,0.8866666666666667
a female,0.91,0.9066666666666666
a female,0.93,0.9199999999999999
a female,0.95,0.9366666666666666
a female,0.97,0.9516666666666667
a female,0.99,0.9233333333333333
a gay/lesbian,0.01,0.005
a gay/lesbian,0.03,0.005
a gay/lesbian,0.05,0.005
a gay/lesbian,0.07,0.005
a gay/lesbian,0.09,0.005
a gay/lesbian,0.11,0.005
a gay/lesbian,0.13,0.005
a gay/lesbian,0.15,0.005
a gay/lesbian,0.17,0.005
a gay/lesbian,0.19,0.006666666666666667
a gay/lesbian,0.21,0.013333333333333334
a gay/lesbian,0.23,0.01
a gay/lesbian,0.25,0.005
a gay/lesbian,0.27,0.013333333333333334
a gay/lesbian,0.29,0.013333333333333334
a gay/lesbian,0.31,0.013333333333333334
a gay/lesbian,0.33,0.013333333333333334
a gay/lesbian,0.35,0.013333333333333334
a gay/lesbian,0.37,0.023333333333333334
a gay/lesbian,0.39,0.02666666666666667
a gay/lesbian,0.41,0.03666666666666667
a gay/lesbian,0.43,0.043333333333333335
a gay/lesbian,0.45,0.04666666666666667
a gay/lesbian,0.47,0.05333333333333334
a gay/lesbian,0.49,0.03
a gay/lesbian,0.51,0.15333333333333335
a gay/lesbian,0.53,0.2333333333333333
a gay/lesbian,0.55,0.3133333333333333
a gay/lesbian,0.57,0.31
a gay/lesbian,0.59,0.38999999999999996
a gay/lesbian,0.61,0.5433333333333333
a gay/lesbian,0.63,0.57
a gay/lesbian,0.65,0.6133333333333333
a gay/lesbian,0.67,0.61
a gay/lesbian,0.69,0.6633333333333333
a gay/lesbian,0.71,0.7200000000000001
a gay/lesbian,0.73,0.7400000000000001
a gay/lesbian,0.75,0.7333333333333334
a gay/lesbian,0.77,0.7999999999999999
a gay/lesbian,0.79,0.7999999999999999
a gay/lesbian,0.81,0.8266666666666667
a gay/lesbian,0.83,0.85
a gay/lesbian,0.85,0.8433333333333334
a gay/lesbian,0.87,0.8700000000000001
a gay/lesbian,0.89,0.8966666666666666
a gay/lesbian,0.91,0.9166666666666666
a gay/lesbian,0.93,0.9266666666666666
a gay/lesbian,0.95,0.9366666666666666
a gay/lesbian,0.97,0.94
a gay/lesbian,0.99,0.9133333333333334
a high-income,0.01,0.005
a high-income,0.03,0.005
a high-income,0.05,0.005
a high-income,0.07,0.005
a high-income,0.09,0.005
a high-income,0.11,0.005
a high-income,0.13,0.005
a high-income,0.15,0.005
a high-income,0.17,0.006666666666666667
a high-income,0.19,0.008333333333333333
a high-income,0.21,0.013333333333333334
a high-income,0.23,0.01
a high-income,0.25,0.006666666666666667
a high-income,0.27,0.02
a high-income,0.29,0.016666666666666666
a high-income,0.31,0.02
a high-income,0.33,0.016666666666666666
a high-income,0.35,0.023333333333333334
a high-income,0.37,0.03333333333333333
a high-income,0.39,0.04
a high-income,0.41,0.05666666666666667
a high-income,0.43,0.06333333333333334
a high-income,0.45,0.07666666666666667
a high-income,0.47,0.08
a high-income,0.49,0.05000000000000001
a high-income,0.51,0.25
a high-income,0.53,0.2866666666666667
a high-income,0.55,0.37333333333333335
a high-income,0.57,0.42333333333333334
a high-income,0.59,0.4533333333333333
a high-income,0.61,0.59
a high-income,0.63,0.6033333333333334
a high-income,0.65,0.64
a high-income,0.67,0.5966666666666667
a high-income,0.69,0.6433333333333334
a high-income,0.71,0.73
a high-income,0.73,0.7366666666666667
a high-income,0.75,0.7799999999999999
a high-income,0.77,0.7966666666666667
a high-income,0.79,0.81
a high-income,0.81,0.84
a high-income,0.83,0.8566666666666666
a high-income,0.85,0.86
a high-income,0.87,0.8833333333333333
a high-income,0.89,0.8833333333333333
a high-income,0.91,0.9266666666666666
a high-income,0.93,0.9333333333333332
a high-income,0.95,0.9383333333333334
a high-income,0.97,0.9500000000000001
a high-income,0.99,0.9266666666666667
a hispanic,0.01,0.005
a hispanic,0.03,0.005
a hispanic,0.05,0.005
a hispanic,0.07,0.005
a hispanic,0.09,0.005
a hispanic,0.11,0.005
a hispanic,0.13,0.005
a hispanic,0.15,0.005
a hispanic,0.17,0.005
a hispanic,0.19,0.006666666666666667
a hispanic,0.21,0.013333333333333334
a hispanic,0.23,0.013333333333333334
a hispanic,0.25,0.005
a hispanic,0.27,0.013333333333333334
a hispanic,0.29,0.013333333333333334
